"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CROPYIELD","RICE","TONNE_HA","A","2019",11.498,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2019",1.625,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2019",0,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.348,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2019",5.157,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2019",4.036,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2019",5.257,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.195,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2019",6.132,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2019",5.489,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2019",8.798,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2019",5.087,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.458,
"USA","CROPYIELD","RICE","TONNE_HA","A","2019",6.021,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.499,
"ARG","CROPYIELD","RICE","TONNE_HA","A","2019",4.357,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.281,
"BRA","CROPYIELD","RICE","TONNE_HA","A","2019",4.187,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.638,
"CHL","CROPYIELD","RICE","TONNE_HA","A","2019",4.485,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2019",6.23,
"CHN","CROPYIELD","RICE","TONNE_HA","A","2019",4.941,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2019",5.63,
"COL","CROPYIELD","RICE","TONNE_HA","A","2019",2.966,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2019",1,
"EGY","CROPYIELD","RICE","TONNE_HA","A","2019",6.832,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2019",6.618,
"ETH","CROPYIELD","RICE","TONNE_HA","A","2019",1.754,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.963,
"IND","CROPYIELD","RICE","TONNE_HA","A","2019",2.653,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.514,
"IDN","CROPYIELD","RICE","TONNE_HA","A","2019",3.265,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2019",1,
"IRN","CROPYIELD","RICE","TONNE_HA","A","2019",3.247,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.37,
"KAZ","CROPYIELD","RICE","TONNE_HA","A","2019",3.148,
"KAZ","CROPYIELD","WHEAT","TONNE_HA","A","2019",1.027,
"MYS","CROPYIELD","RICE","TONNE_HA","A","2019",2.586,
"MYS","CROPYIELD","WHEAT","TONNE_HA","A","2019",1,
"NGA","CROPYIELD","RICE","TONNE_HA","A","2019",1.231,
"NGA","CROPYIELD","WHEAT","TONNE_HA","A","2019",1.465,
"PAK","CROPYIELD","RICE","TONNE_HA","A","2019",2.568,
"PAK","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.883,
"PRY","CROPYIELD","RICE","TONNE_HA","A","2019",4.595,
"PRY","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.171,
"PER","CROPYIELD","RICE","TONNE_HA","A","2019",5.296,
"PER","CROPYIELD","WHEAT","TONNE_HA","A","2019",1.397,
"PHL","CROPYIELD","RICE","TONNE_HA","A","2019",2.636,
"PHL","CROPYIELD","WHEAT","TONNE_HA","A","2019",1,
"RUS","CROPYIELD","RICE","TONNE_HA","A","2019",5.448,
"RUS","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.687,
"SAU","CROPYIELD","RICE","TONNE_HA","A","2019",1,
"SAU","CROPYIELD","WHEAT","TONNE_HA","A","2019",6.364,
"ZAF","CROPYIELD","RICE","TONNE_HA","A","2019",2.001,
"ZAF","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.344,
"THA","CROPYIELD","RICE","TONNE_HA","A","2019",1.992,
"THA","CROPYIELD","WHEAT","TONNE_HA","A","2019",1,
"UKR","CROPYIELD","RICE","TONNE_HA","A","2019",3.549,
"UKR","CROPYIELD","WHEAT","TONNE_HA","A","2019",4.112,
"VNM","CROPYIELD","RICE","TONNE_HA","A","2019",3.777,
"VNM","CROPYIELD","WHEAT","TONNE_HA","A","2019",1,
"WLD","CROPYIELD","RICE","TONNE_HA","A","2019",3.146,
"WLD","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.542,
"OECD","CROPYIELD","RICE","TONNE_HA","A","2019",4.966,
"OECD","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.997,
"BRICS","CROPYIELD","RICE","TONNE_HA","A","2019",3.598,
"BRICS","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.815,
"NZL","CROPYIELD","RICE","TONNE_HA","A","2019",0,
"NOR","CROPYIELD","RICE","TONNE_HA","A","2019",0,
"NOR","CROPYIELD","WHEAT","TONNE_HA","A","2019",5.373,
"CHE","CROPYIELD","RICE","TONNE_HA","A","2019",4,
"CHE","CROPYIELD","WHEAT","TONNE_HA","A","2019",5.376,
"IRN","CROPYIELD","MAIZE","TONNE_HA","A","2019",5.5,
"KAZ","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.857,
"PRY","CROPYIELD","MAIZE","TONNE_HA","A","2019",4.9,
"RUS","CROPYIELD","MAIZE","TONNE_HA","A","2019",4.544,
"CAN","CROPYIELD","MAIZE","TONNE_HA","A","2019",9.236,
"CHN","CROPYIELD","MAIZE","TONNE_HA","A","2019",6.317,
"MYS","CROPYIELD","MAIZE","TONNE_HA","A","2019",7.083,
"MEX","CROPYIELD","MAIZE","TONNE_HA","A","2019",3.518,
"NOR","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",0,
"IDN","CROPYIELD","MAIZE","TONNE_HA","A","2019",6.511,
"SAU","CROPYIELD","MAIZE","TONNE_HA","A","2019",6.357,
"THA","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.72,
"CHE","CROPYIELD","MAIZE","TONNE_HA","A","2019",8.474,
"PAK","CROPYIELD","MAIZE","TONNE_HA","A","2019",4.667,
"ETH","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.857,
"BRICS","CROPYIELD","MAIZE","TONNE_HA","A","2019",5.561,
"KOR","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.775,
"ISR","CROPYIELD","MAIZE","TONNE_HA","A","2019",29.333,
"WLD","CROPYIELD","MAIZE","TONNE_HA","A","2019",5.922,
"CHL","CROPYIELD","MAIZE","TONNE_HA","A","2019",12.192,
"BRA","CROPYIELD","MAIZE","TONNE_HA","A","2019",5.364,
"VNM","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.528,
"RUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.272,
"ISR","CROPYIELD","RICE","TONNE_HA","A","2019",1,
"USA","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.19,
"IND","CROPYIELD","MAIZE","TONNE_HA","A","2019",2.99,
"NOR","CROPYIELD","MAIZE","TONNE_HA","A","2019",0,
"NGA","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",0.933,
"NZL","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",0,
"EGY","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.5,
"THA","CROPYIELD","MAIZE","TONNE_HA","A","2019",4.672,
"ETH","CROPYIELD","MAIZE","TONNE_HA","A","2019",4.712,
"ZAF","CROPYIELD","MAIZE","TONNE_HA","A","2019",5.369,
"ISR","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1,
"PER","CROPYIELD","MAIZE","TONNE_HA","A","2019",3.437,
"AUS","CROPYIELD","MAIZE","TONNE_HA","A","2019",6.755,
"KAZ","CROPYIELD","MAIZE","TONNE_HA","A","2019",5.547,
"VNM","CROPYIELD","MAIZE","TONNE_HA","A","2019",4.331,
"ARG","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.221,
"JPN","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.675,
"NGA","CROPYIELD","MAIZE","TONNE_HA","A","2019",2.549,
"ISR","CROPYIELD","WHEAT","TONNE_HA","A","2019",1.829,
"UKR","CROPYIELD","MAIZE","TONNE_HA","A","2019",6.836,
"IDN","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.625,
"NZL","CROPYIELD","MAIZE","TONNE_HA","A","2019",10.886,
"COL","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.995,
"TUR","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.5,
"PHL","CROPYIELD","MAIZE","TONNE_HA","A","2019",3.08,
"PER","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.273,
"IRN","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.625,
"AUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.682,
"JPN","CROPYIELD","MAIZE","TONNE_HA","A","2019",1,
"CAN","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.641,
"MYS","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",0.333,
"PAK","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1,
"IND","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.09,
"SAU","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1,
"MEX","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.7,
"UKR","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.192,
"PRY","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.815,
"USA","CROPYIELD","MAIZE","TONNE_HA","A","2019",10.545,
"EGY","CROPYIELD","MAIZE","TONNE_HA","A","2019",6.847,
"WLD","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.785,
"CHN","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.939,
"COL","CROPYIELD","MAIZE","TONNE_HA","A","2019",3.026,
"CHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1,
"PHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",0.769,
