"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"UKR","MEATCONSUMP","BEEF","THND_TONNE","A","2019",289.175,
"ETH","MEATCONSUMP","BEEF","THND_TONNE","A","2019",392.867,
"NOR","MEATCONSUMP","BEEF","THND_TONNE","A","2019",97.34,
"KAZ","MEATCONSUMP","BEEF","THND_TONNE","A","2019",523.2,
"KOR","MEATCONSUMP","BEEF","THND_TONNE","A","2019",865.1,
"EGY","MEATCONSUMP","BEEF","THND_TONNE","A","2019",1130.091,
"USA","MEATCONSUMP","BEEF","THND_TONNE","A","2019",12374.514,
"NGA","MEATCONSUMP","BEEF","THND_TONNE","A","2019",376.869,
"RUS","MEATCONSUMP","BEEF","THND_TONNE","A","2019",2098.465,
"NZL","MEATCONSUMP","BEEF","THND_TONNE","A","2019",79.32,
"VNM","MEATCONSUMP","BEEF","THND_TONNE","A","2019",1133.683,
"TUR","MEATCONSUMP","BEEF","THND_TONNE","A","2019",1122.8,
"IDN","MEATCONSUMP","BEEF","THND_TONNE","A","2019",831.35,
"PER","MEATCONSUMP","BEEF","THND_TONNE","A","2019",198.074,
"ARG","MEATCONSUMP","BEEF","THND_TONNE","A","2019",2430,
"ISR","MEATCONSUMP","BEEF","THND_TONNE","A","2019",284,
"MYS","MEATCONSUMP","BEEF","THND_TONNE","A","2019",246.9,
"BRA","MEATCONSUMP","BEEF","THND_TONNE","A","2019",7593.866,
"IRN","MEATCONSUMP","BEEF","THND_TONNE","A","2019",675.701,
"COL","MEATCONSUMP","BEEF","THND_TONNE","A","2019",607.48,
"JPN","MEATCONSUMP","BEEF","THND_TONNE","A","2019",1366.697,
"CHE","MEATCONSUMP","BEEF","THND_TONNE","A","2019",161.657,
"THA","MEATCONSUMP","BEEF","THND_TONNE","A","2019",121.7,
"SAU","MEATCONSUMP","BEEF","THND_TONNE","A","2019",186.8,
"CHL","MEATCONSUMP","BEEF","THND_TONNE","A","2019",527,
"PHL","MEATCONSUMP","BEEF","THND_TONNE","A","2019",486.836,
"IND","MEATCONSUMP","BEEF","THND_TONNE","A","2019",1039.304,
"WLD","MEATCONSUMP","BEEF","THND_TONNE","A","2019",70474.255,
"MEX","MEATCONSUMP","BEEF","THND_TONNE","A","2019",1670.708,
"OECD","MEATCONSUMP","BEEF","THND_TONNE","A","2019",28701.939,
"PAK","MEATCONSUMP","BEEF","THND_TONNE","A","2019",1868.078,
"PRY","MEATCONSUMP","BEEF","THND_TONNE","A","2019",120.187,
"AUS","MEATCONSUMP","BEEF","THND_TONNE","A","2019",709.223,
"CAN","MEATCONSUMP","BEEF","THND_TONNE","A","2019",941.857,
"CHN","MEATCONSUMP","BEEF","THND_TONNE","A","2019",8369.277,
"ZAF","MEATCONSUMP","BEEF","THND_TONNE","A","2019",924.244,
"BRICS","MEATCONSUMP","BEEF","THND_TONNE","A","2019",20025.157,
"GBR","MEATCONSUMP","BEEF","THND_TONNE","A","2019",1100.526,
