"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","1990",391.342,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","1991",522.365,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","1992",540.181,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","1993",608.148,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","1994",625,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","1995",641.823,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","1996",659.871,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","1997",664.556,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","1998",737.949,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","1999",810.041,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2000",903.782,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2001",962.917,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2002",1126.755,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2003",1242.1,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2004",1340.202,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2005",1439.783,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2006",1554.199,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2007",1789.784,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2008",1916.97,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2009",2119.686,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2010",2222.015,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2011",2505.201,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2012",2707.058,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2013",2872.854,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2014",3064.955,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2015",3283.691,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2016",3428.045,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2017",3540.624,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2018",3700.344,
"IND","MEATCONSUMP","POULTRY","THND_TONNE","A","2019",3737.32,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","1990",35.64,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","1991",35.64,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","1992",35.9,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","1993",36,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","1994",35.971,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","1995",35.97,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","1996",36.17,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","1997",36.3,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","1998",36.962,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","1999",37.241,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2000",37.602,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2001",49.837,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2002",54.057,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2003",50.242,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2004",47.112,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2005",42.581,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2006",45.209,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2007",46.25,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2008",48.603,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2009",49.793,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2010",57.496,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2011",53.942,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2012",60.499,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2013",61.86,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2014",41.058,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2015",12.296,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2016",13.135,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2017",13.701,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2018",14.025,
"ETH","MEATCONSUMP","POULTRY","THND_TONNE","A","2019",14.025,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","1990",475.191,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","1991",525.059,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","1992",473.659,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","1993",450.339,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","1994",432.053,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","1995",565.801,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","1996",548.728,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","1997",617.672,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","1998",700.823,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","1999",780.345,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2000",814.724,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2001",890.329,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2002",862.936,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2003",880.611,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2004",829.991,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2005",976.389,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2006",947.117,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2007",1003.039,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2008",1077.171,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2009",1180.693,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2010",1237.304,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2011",1238.449,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2012",1239.501,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2013",1414.464,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2014",1435.249,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2015",1539.566,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2016",1523.632,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2017",1293.805,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2018",1343.429,
"SAU","MEATCONSUMP","POULTRY","THND_TONNE","A","2019",1355.132,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","1990",0,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","1991",0,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","1992",1484.034,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","1993",1455.22,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","1994",1767.4,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","1995",1829.7,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","1996",1943.316,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","1997",2082.973,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","1998",1896.369,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","1999",1888.57,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2000",1464.899,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2001",2153.506,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2002",2337.123,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2003",2319.246,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2004",2355.54,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2005",2776.843,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2006",2951.226,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2007",3265.123,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2008",3479.081,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2009",3551.915,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2010",3561.354,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2011",3709.108,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2012",4225.121,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2013",4369.633,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2014",4563.635,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2015",4776.608,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2016",4759.522,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2017",5034.422,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2018",5039.197,
"RUS","MEATCONSUMP","POULTRY","THND_TONNE","A","2019",5076.07,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","1990",20.084,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","1991",20.539,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","1992",23.117,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","1993",23.088,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","1994",26.172,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","1995",29.658,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","1996",32.619,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","1997",33.488,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","1998",31.429,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","1999",36.754,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2000",43.607,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2001",43.348,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2002",46.808,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2003",49.872,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2004",54.99,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2005",58.198,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2006",63.642,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2007",71.199,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2008",84.858,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2009",82.335,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2010",84.673,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2011",85.131,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2012",93.743,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2013",106.461,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2014",104.728,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2015",93.963,
"NOR","MEATCONSUMP","POULTRY","THND_TONNE","A","2016",100.532,
