"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","1990",9.563,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","1991",7.896,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","1992",15.467,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","1993",11.516,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","1994",14.189,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","1995",12.722,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","1996",10.887,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","1997",9.606,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","1998",8.067,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","1999",6.814,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2000",5.701,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2001",4.889,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2002",5.699,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2003",5.512,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2004",5.978,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2005",6.078,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2006",5.838,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2007",5.819,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2008",5.73,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2009",5.327,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2010",5.665,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2011",6.489,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2012",6.701,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2013",6.592,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2014",8.692,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2015",10.94,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2016",14.39,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2017",19.195,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2018",18.835,
"KOR","MEATCONSUMP","SHEEP","THND_TONNE","A","2019",19.299,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","1990",168.477,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","1991",169.023,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","1992",178.516,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","1993",164.846,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","1994",196.4,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","1995",155.765,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","1996",164.285,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","1997",163.139,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","1998",161.125,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","1999",186.285,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2000",164.066,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2001",146.713,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2002",145.494,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2003",143.83,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2004",166.946,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2005",166.949,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2006",178.666,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2007",208.12,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2008",198.552,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2009",185.295,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2010",175.008,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2011",163.417,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2012",171.925,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2013",192.734,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2014",202.84,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2015",188.406,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2016",188.225,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2017",172.697,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2018",171.621,
"ZAF","MEATCONSUMP","SHEEP","THND_TONNE","A","2019",170.9,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","1990",602.873,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","1991",611.178,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","1992",619.043,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","1993",624.178,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","1994",626,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","1995",654.64,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","1996",663.126,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","1997",672.931,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","1998",678.951,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","1999",681.613,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2000",677.903,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2001",689.71,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2002",692.029,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2003",686.235,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2004",715.233,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2005",741.193,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2006",766.721,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2007",791.771,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2008",772.583,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2009",715.045,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2010",759.717,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2011",753.881,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2012",743.068,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2013",726.758,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2014",717.47,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2015",708.951,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2016",722.37,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2017",711.407,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2018",713.248,
"IND","MEATCONSUMP","SHEEP","THND_TONNE","A","2019",712.85,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","1990",59.29,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","1991",59.675,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","1992",60.335,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","1993",60.607,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","1994",60.517,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","1995",60.161,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","1996",60.558,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","1997",59.288,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","1998",61.683,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","1999",61.395,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2000",60.398,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2001",66.134,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2002",79.386,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2003",85.27,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2004",101.425,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2005",109.451,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2006",128.209,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2007",145.049,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2008",138.189,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2009",144.274,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2010",142.616,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2011",138.295,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2012",143.842,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2013",148.137,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2014",101.709,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2015",38.553,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2016",45.383,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2017",55.94,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2018",56.098,
"ETH","MEATCONSUMP","SHEEP","THND_TONNE","A","2019",58.801,
"THA","MEATCONSUMP","SHEEP","THND_TONNE","A","1990",1.325,
"THA","MEATCONSUMP","SHEEP","THND_TONNE","A","1991",1.414,
"THA","MEATCONSUMP","SHEEP","THND_TONNE","A","1992",1.691,
"THA","MEATCONSUMP","SHEEP","THND_TONNE","A","1993",1.31,
"THA","MEATCONSUMP","SHEEP","THND_TONNE","A","1994",1.2,
"THA","MEATCONSUMP","SHEEP","THND_TONNE","A","1995",1.1,
